"","ID.deid","T1_Age","T1_Gender","T1_Ethnicity","T1c_BFI_open","T1c_BFI_conscientious","T1c_BFI_extraversion","T1c_BFI_agreeable","T1c_BFI_neurotic","T1_SWL_1","T1_SWL_2","T1_SWL_3","T1_SWL_4","T1_SWL_5","T1_SWL_Mean","T2_SWL_1","T2_SWL_2","T2_SWL_3","T2_SWL_4","T2_SWL_5","T2_SWL_Mean","T3_SWL_1","T3_SWL_2","T3_SWL_3","T3_SWL_4","T3_SWL_5","T3_SWL_Mean","T4_SWL_1","T4_SWL_2","T4_SWL_3","T4_SWL_4","T4_SWL_5","T4_SWL_Mean","T5_SWL_1","T5_SWL_2","T5_SWL_3","T5_SWL_4","T5_SWL_5","T5_SWL_Mean","T6_SWL_1","T6_SWL_2","T6_SWL_3","T6_SWL_4","T6_SWL_5","T6_SWL_Mean","T7_SWL_1","T7_SWL_2","T7_SWL_3","T7_SWL_4","T7_SWL_5","T7_SWL_Mean","T8_SWL_1","T8_SWL_2","T8_SWL_3","T8_SWL_4","T8_SWL_5","T8_SWL_Mean","T9_SWL_1","T9_SWL_2","T9_SWL_3","T9_SWL_4","T9_SWL_5","T9_SWL_Mean","T10_SWL_1","T10_SWL_2","T10_SWL_3","T10_SWL_4","T10_SWL_5","T10_SWL_Mean","T11_SWL_1","T11_SWL_2","T11_SWL_3","T11_SWL_4","T11_SWL_5","T11_SWL_Mean","T11_LifeSatisf_Change_1","T11_LifeSatisf_Change_2","T11_LifeSatisf_Change_3","T11_LifeSatisf_Change_4","T11_LifeSatisf_Change_5"
"26",26,36,1,2,3.33333333333333,4,3.66666666666667,3.66666666666667,0,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,3,0,0,1.6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,3,4,6
"27",27,26,2,1,1.66666666666667,2.66666666666667,2.66666666666667,3,0.666666666666667,4,5,5,5,4,4.6,5,4,5,4,3,4.2,5,5,5,4,3,4.4,5,4,5,4,4,4.4,5,5,5,4,4,4.6,5,5,5,5,4,4.8,5,5,5,4,3,4.4,4,4,4,4,2,3.6,5,5,5,5,4,4.8,5,5,5,4,4,4.6,5,5,5,5,4,4.8,4,6,3,6,6
"28",28,29,1,5,1.66666666666667,1.66666666666667,1.33333333333333,3.33333333333333,0,5,5,5,5,2,4.4,4,4,4,4,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,2,4,2,2,4,5,2,3,5,4,5,5,4,4.6,NA,NA,NA,NA,NA,NA,3,3,3,3,1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,31,2,2,NA,NA,NA,NA,NA,3,3,3,4,4,3.4,3,3,2,4,6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,27,1,5,4,4,3.33333333333333,4,1.33333333333333,5,6,6,5,4,5.2,5,5,6,5,4,5,5,6,6,5,4,5.2,5,6,5,5,3,4.8,5,5,6,3,1,4,4,5,5,4,1,3.8,4,5,5,5,2,4.2,0,0,0,0,0,0,4,5,5,4,0,3.6,5,4,5,4,2,4,5,4,5,4,1,3.8,2,5,5,2,6
"31",31,36,2,1,3.33333333333333,3,2.33333333333333,2.33333333333333,1.33333333333333,5,4,5,4,2,4,4,4,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,35,2,5,NA,NA,NA,NA,NA,1,2,2,2,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1.8,2,3,1,3,2,2.2,NA,NA,NA,NA,NA,NA,3,3,3,4,1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,28,2,5,2.66666666666667,2.66666666666667,0.666666666666667,1.66666666666667,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,34,1,2,3.66666666666667,2.66666666666667,2,1,2.66666666666667,1,1,4,0,0,1.2,3,3,5,2,1,2.8,2,2,4,1,1,2,3,3,5,2,0,2.6,2,2,5,2,1,2.4,2,2,5,1,0,2,1,1,4,0,0,1.2,4,4,4,4,3,3.8,2,2,6,0,0,2,1,1,4,0,0,1.2,1,1,3,1,0,1.2,2,5,5,7,4
"35",35,38,2,1,NA,NA,NA,NA,NA,4,3,3,5,1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,6,4.6,NA,NA,NA,NA,NA,NA,3,3,1,3,0,2,3,3,4,4,0,2.8,2,3,4,6,1,3.2,4,4,3,5,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,44,2,1,2.66666666666667,2.33333333333333,1,3.33333333333333,1.66666666666667,5,4,5,5,1,4,4,4,5,4,3,4,4,4,4,5,2,3.8,4,3,4,4,3,3.6,4,2,3,4,1,2.8,5,5,5,5,3,4.6,4,3,4,5,1,3.4,1,1,2,2,0,1.2,5,4,5,5,1,4,5,5,5,5,3,4.6,4,5,5,5,3,4.4,5,5,5,7,6
"37",37,35,1,1,NA,NA,NA,NA,NA,3,1,4,5,2,3,4,2,1,2,4,2.6,0,5,3,1,3,2.4,4,1,3,6,0,2.8,2,3,4,1,4,2.8,5,2,2,6,1,3.2,3,1,3,6,3,3.2,3,3,2,1,1,2,4,2,4,2,4,3.2,3,1,5,3,2,2.8,4,4,5,2,3,3.6,3,2,4,3,6
"38",38,23,2,5,2.66666666666667,4,4,3.33333333333333,3.66666666666667,6,6,3,6,6,5.4,4,4,4,6,6,4.8,6,3,3,6,6,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,0.8,NA,NA,NA,NA,NA,NA,6,6,3,6,3,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,24,1,5,3.33333333333333,1,0,2.33333333333333,3.33333333333333,0,0,1,0,1,0.4,1,1,0,1,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,2,2,1,1,1.4,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0.4,4,4,5,5,4
"40",40,23,1,2,NA,NA,NA,NA,NA,3,3,3,3,1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,25,1,5,0.666666666666667,2.33333333333333,2,3.33333333333333,3,4,5,3,3,2,3.4,3,1,2,4,4,2.8,5,5,4,5,5,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,4.6,NA,NA,NA,NA,NA,NA,0,0,4,5,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,65,2,1,3.33333333333333,4,1.33333333333333,4,0,6,5,6,6,6,5.8,5,5,5,5,5,5,6,5,6,6,6,5.8,5,5,5,5,5,5,5,4,5,5,5,4.8,5,5,5,5,5,5,6,5,6,6,6,5.8,2,0,1,4,0,1.4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,7,6
"43",43,45,2,5,NA,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,3,3,4,7
"44",44,36,1,1,2,4,2.33333333333333,2.33333333333333,0,2,1,1,1,0,1,1,1,2,1,0,1,1,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0.4,1,2,2,1,1,1.4,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,4,1,3,4,5
"45",45,27,1,6,3.66666666666667,1,1,2,2.66666666666667,1,2,0,0,0,0.6,0,3,0,0,0,0.6,0,3,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,18,1,6,1.66666666666667,1.33333333333333,1,3,2,5,4,4,5,0,3.6,NA,NA,NA,NA,NA,NA,5,4,4,3,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,20,2,1,3.66666666666667,1.66666666666667,1.66666666666667,4,2.33333333333333,6,6,6,1,2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,1,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,7,7
"48",48,30,2,1,2.33333333333333,4,0.333333333333333,2.33333333333333,1.33333333333333,5,5,5,5,1,4.2,6,6,5,5,5,5.4,6,6,5,5,6,5.6,6,6,6,5,6,5.8,5,6,6,6,6,5.8,6,6,6,5,6,5.8,3,6,3,3,6,4.2,6,6,6,6,3,5.4,6,6,5,3,6,5.2,6,6,6,3,6,5.4,6,6,6,6,6,6,4,0,0,4,4
"49",49,39,2,5,3,3.66666666666667,2.33333333333333,1.33333333333333,0.333333333333333,5,6,5,5,0,4.2,2,4,3,4,0,2.6,5,6,5,6,0,4.4,5,6,5,5,0,4.2,5,6,4,5,0,4,5,6,5,6,0,4.4,NA,NA,NA,NA,NA,NA,3,1,3,5,1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,34,2,5,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,2,2,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0.2,0,0,0,0,0,0,5,2,6,3,4,4,2,0,3,0,0,1,1,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,51,2,2,4,3.66666666666667,1.33333333333333,4,0,5,5,5,5,1,4.2,6,6,6,6,1,5,5,5,5,5,1,4.2,6,5,6,6,1,4.8,5,5,6,5,4,5,6,6,6,6,1,5,NA,NA,NA,NA,NA,NA,2,1,5,5,1,2.8,5,5,5,6,2,4.6,5,5,5,6,3,4.8,5,5,5,6,4,5,5,3,5,1,6
"52",52,45,1,1,3.33333333333333,4,3,4,0,5,5,6,6,5,5.4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5.4,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,5,6,6,5,5.4,5,5,6,6,5,5.4,3,3,3,2,7
"53",53,23,2,1,4,2,0.666666666666667,1.33333333333333,2.33333333333333,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1.4,4,5,1,5,4
"54",54,32,1,2,2,2.33333333333333,0.666666666666667,2.66666666666667,2,3,2,3,3,2,2.6,3,2,3,3,2,2.6,3,2,3,3,3,2.8,3,2,3,4,2,2.8,3,2,3,3,2,2.6,NA,NA,NA,NA,NA,NA,3,2,3,3,2,2.6,4,3,4,5,4,4,3,4,3,3,2,3,3,2,4,3,2,2.8,3,2,3,3,2,2.6,3,3,2,3,5
"55",55,25,2,1,4,3.66666666666667,1.66666666666667,3.33333333333333,1.33333333333333,2,1,2,2,0,1.4,2,2,2,1,2,1.8,2,2,2,2,1,1.8,2,2,2,2,1,1.8,2,2,2,2,1,1.8,2,2,2,2,1,1.8,2,2,2,3,0,1.8,3,3,4,4,2,3.2,3,3,3,3,1,2.6,3,3,3,3,1,2.6,2,2,2,2,0,1.6,3,2,4,3,5
"56",56,28,2,1,NA,NA,NA,NA,NA,4,6,2,4,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,20,2,6,3.66666666666667,2.66666666666667,2,3.66666666666667,0.666666666666667,4,3,4,4,5,4,2,2,4,4,5,3.4,1,2,2,3,3,2.2,2,3,4,3,3,3,2,1,4,4,4,3,1,2,4,3,2,2.4,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,32,1,5,2.33333333333333,3,2.33333333333333,3,1,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,5,5,3,4,2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
