id.deid,T1_Age,T1_Gender,T1_Ethnicity,T6_BFI_agreeable,T6_BFI_conscientious,T6_BFI_open,T6_BFI_extraversion,T6_BFI_neurotic,T1_SWL_1,T1_SWL_2,T1_SWL_3,T1_SWL_4,T1_SWL_5,T1_SWL_Mean,T2_SWL_1,T2_SWL_2,T2_SWL_3,T2_SWL_4,T2_SWL_5,T2_SWL_Mean,T3_SWL_1,T3_SWL_2,T3_SWL_3,T3_SWL_4,T3_SWL_5,T3_SWL_Mean,T4_SWL_1,T4_SWL_2,T4_SWL_3,T4_SWL_4,T4_SWL_5,T4_SWL_Mean,T5_SWL_1,T5_SWL_2,T5_SWL_3,T5_SWL_4,T5_SWL_5,T5_SWL_Mean,T6_SWL_1,T6_SWL_2,T6_SWL_3,T6_SWL_4,T6_SWL_5,T6_SWL_Mean,T7_SWL_1,T7_SWL_2,T7_SWL_3,T7_SWL_4,T7_SWL_5,T7_SWL_Mean,T8_SWL_1,T8_SWL_2,T8_SWL_3,T8_SWL_4,T8_SWL_5,T8_SWL_Mean,T9_SWL_1,T9_SWL_2,T9_SWL_3,T9_SWL_4,T9_SWL_5,T9_SWL_Mean,T10_SWL_1,T10_SWL_2,T10_SWL_3,T10_SWL_4,T10_SWL_5,T10_SWL_Mean,T11_SWL_1,T11_SWL_2,T11_SWL_3,T11_SWL_4,T11_SWL_5,T11_SWL_Mean,T11_LifeSatisf_Change_1,T11_LifeSatisf_Change_2,T11_LifeSatisf_Change_3,T11_LifeSatisf_Change_4,T11_LifeSatisf_Change_5
11,66,1,2,NA,NA,NA,NA,NA,5,5,4,5,2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,4,3,3.8,4,5,4,5,4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,50,1,2,NA,NA,NA,NA,NA,2,2,4,5,0,2.6,0,1,1,5,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,43,1,2,2.666666667,4,3.333333333,2.333333333,0.333333333,5,5,5,5,5,5,5,5,6,5,5,5.2,5,5,5,5,5,5,5,5,5,5,4,4.8,5,5,5,5,4,4.8,5,5,5,5,4,4.8,5,4,5,5,4,4.6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5.2,5,5,5,5,5,5,2,4,2,4,7
14,33,1,2,2.666666667,3.333333333,2.666666667,1,4,2,2,2,1,1,1.6,2,2,1,2,0,1.4,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,2,0,0.4,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,2,0,0.4,0,1,1,7,7
15,64,1,2,NA,NA,NA,NA,NA,2,4,2,4,1,2.6,2,3,2,4,2,2.6,1,2,1,4,1,1.8,2,3,2,5,2,2.8,2,1,2,4,1,2,NA,NA,NA,NA,NA,NA,2,2,2,4,1,2.2,2,1,3,3,2,2.2,1,1,2,4,2,2,2,3,2,4,1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,23,2,2,4,2,2.666666667,2.333333333,3,3,4,3,4,2,3.2,2,2,2,4,3,2.6,2,5,2,2,3,2.8,3,4,4,3,5,3.8,3,5,5,5,4,4.4,2,5,2,3,4,3.2,3,4,2,3,2,2.8,2,5,3,2,3,3,3,6,3,3,3,3.6,3,5,2,2,4,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,45,2,5,NA,NA,NA,NA,NA,3,4,3,4,3,3.4,3,4,4,3,3,3.4,3,3,3,5,2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,41,1,2,NA,NA,NA,NA,NA,3,3,4,3,3,3.2,4,3,3,3,3,3.2,3,2,4,3,3,3,3,4,4,3,4,3.6,3,3,4,3,4,3.4,NA,NA,NA,NA,NA,NA,3,3,4,3,3,3.2,4,3,4,3,3,3.4,3,3,4,3,4,3.4,3,3,4,3,3,3.2,3,4,4,3,3,3.4,3,3,2,3,5
19,35,1,2,1,3.333333333,2,0.666666667,3,0,3,0,1,0,0.8,2,4,0,2,0,1.6,3,4,0,1,0,1.6,2,3,0,1,0,1.2,2,3,0,1,0,1.2,3,4,0,1,0,1.6,2,4,0,1,0,1.4,3,5,0,2,0,2,4,5,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,62,2,2,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,25,2,2,NA,NA,NA,NA,NA,3,4,3,3,0,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,0,1.8,1,1,2,2,0,1.2,2,2,2,3,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,50,1,2,4,3.333333333,4,1,0,1,1,2,2,0,1.2,1,2,3,3,0,1.8,3,3,3,3,0,2.4,2,2,3,2,0,1.8,1,2,3,3,0,1.8,2,3,3,3,0,2.2,1,2,4,2,0,1.8,2,4,4,1,0,2.2,2,3,4,3,0,2.4,2,4,4,3,0,2.6,2,3,3,3,0,2.2,3,5,3,6,6
23,27,1,5,2.666666667,4,2.333333333,1,1.666666667,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,4,4.6,5,5,5,5,5,5,4,5,5,5,5,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,30,1,2,1.666666667,4,2.666666667,1.333333333,1.333333333,3,4,4,5,4,4,3,4,4,3,4,3.6,3,5,4,4,5,4.2,3,4,4,5,4,4,3,5,4,4,3,3.8,3,4,5,4,5,4.2,3,4,4,5,4,4,3,5,4,4,5,4.2,4,4,5,5,4,4.4,4,4,5,5,3,4.2,4,3,5,5,4,4.2,3,3,3,4,3
25,30,2,2,2,2,0.333333333,2.333333333,2.333333333,1,1,3,2,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0.6,1,1,1,1,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,47,1,5,2,3.666666667,2.333333333,1.666666667,0,3,3,4,4,1,3,2,3,3,2,1,2.2,3,3,3,3,1,2.6,3,3,4,3,0,2.6,2,3,3,3,1,2.4,2,2,2,2,1,1.8,2,3,3,3,1,2.4,2,2,3,2,0,1.8,3,3,3,2,1,2.4,3,3,4,3,0,2.6,3,3,4,2,1,2.6,6,3,4,5,4
27,70,1,2,2.666666667,3.666666667,3,2.666666667,0.333333333,3,3,4,4,0,2.8,4,5,5,3,0,3.4,4,4,4,4,0,3.2,4,4,5,4,1,3.6,4,4,5,4,1,3.6,4,4,5,3,0,3.2,2,3,4,4,0,2.6,3,3,4,4,0,2.8,4,4,5,4,0,3.4,3,4,4,4,0,3,3,3,5,4,0,3,3,3,3,4,4
28,40,1,2,2.666666667,4,3,2,1.666666667,5,5,5,5,2,4.4,3,4,4,4,1,3.2,4,3,5,5,2,3.8,3,3,5,5,1,3.4,3,2,4,4,1,2.8,4,3,4,4,2,3.4,3,2,4,4,2,3,4,3,5,5,1,3.6,4,4,5,5,2,4,4,4,5,5,1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,70,1,2,NA,NA,NA,NA,NA,5,5,5,4,4,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,5,4.6,5,5,5,5,4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,45,1,2,2.666666667,2.333333333,2.333333333,2.333333333,0.666666667,4,4,3,5,4,4,3,3,3,4,2,3,4,5,4,5,4,4.4,3,3,3,4,3,3.2,NA,NA,NA,NA,NA,NA,5,4,5,5,4,4.6,3,3,4,4,4,3.6,NA,NA,NA,NA,NA,NA,4,4,5,4,4,4.2,4,4,5,5,4,4.4,3,3,4,5,3,3.6,2,3,3,3,5
31,45,1,2,1.333333333,0.666666667,3.333333333,0.333333333,2.333333333,1,1,1,1,0,0.8,0,0,1,0,0,0.2,0,0,1,1,0,0.4,0,2,1,1,0,0.8,1,1,1,1,0,0.8,0,0,1,0,0,0.2,0,1,1,1,0,0.6,0,1,1,1,0,0.6,0,1,1,1,0,0.6,0,0,0,0,0,0,1,1,1,1,0,0.8,2,5,1,7,4
32,52,2,2,NA,NA,NA,NA,NA,5,4,4,6,4,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,29,6,5,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,35,2,2,1.333333333,1,4,2.333333333,2,3,3,3,2,3,2.8,2,2,2,2,3,2.2,2,2,2,2,3,2.2,3,3,3,2,2,2.6,3,3,3,2,4,3,2,3,2,2,3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,1,2,NA,NA,NA,NA,NA,3,4,4,4,1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,39,1,2,NA,NA,NA,NA,NA,4,4,4,4,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,58,1,2,NA,NA,NA,NA,NA,2,3,3,2,1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,0,2,1,2,2,2,1,1.6,2,3,3,2,1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,50,2,2,3.666666667,4,1.666666667,2.333333333,1.333333333,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,7,7
39,47,1,2,NA,NA,NA,NA,NA,1,1,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0.8,1,1,1,2,0,1,1,1,1,2,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,43,2,2,2.333333333,3,0.666666667,0.666666667,3.333333333,4,4,5,5,2,4,4,3,4,5,1,3.4,4,3,5,5,2,3.8,4,3,4,5,1,3.4,4,3,4,5,1,3.4,4,3,4,5,1,3.4,4,3,3,5,1,3.2,5,2,4,5,1,3.4,4,3,5,5,1,3.6,4,3,5,5,1,3.6,4,3,4,5,1,3.4,1,5,5,2,6
41,37,2,2,NA,NA,NA,NA,NA,2,4,3,3,2,2.8,4,4,3,4,2,3.4,3,4,3,4,3,3.4,3,4,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,61,2,2,3.666666667,2,2.666666667,0.666666667,2.666666667,5,5,5,5,3,4.6,4,4,4,4,3,3.8,4,4,4,4,3,3.8,4,4,3,5,3,3.8,3,4,4,6,3,4,3,3,4,4,2,3.2,3,4,4,4,2,3.4,4,4,5,4,2,3.8,4,4,5,5,2,4,4,4,4,4,2,3.6,4,4,4,4,2,3.6,4,0,3,4,5
43,28,1,2,4,4,4,2.666666667,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,5,5,4,4.6,6,3,6,3,6,4.8,6,6,6,7,7
44,35,1,2,NA,NA,NA,NA,NA,4,4,3,3,3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,51,1,2,NA,NA,NA,NA,NA,3,4,4,5,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,36,2,2,NA,NA,NA,NA,NA,4,4,4,5,0,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,0,3.4,4,5,5,5,0,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,29,1,2,3,2.666666667,2.333333333,3.333333333,1,4,4,4,4,4,4,3,4,4,4,4,3.8,4,5,4,4,4,4.2,4,4,4,4,4,4,3,4,4,4,3,3.6,4,4,4,4,3,3.8,4,4,4,4,4,4,3,5,4,4,4,4,4,5,4,4,4,4.2,3,4,3,3,3,3.2,3,4,4,4,3,3.6,4,4,2,5,4
48,41,2,2,NA,NA,NA,NA,NA,4,6,5,6,5,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,43,1,2,3,2,2.666666667,2,1.333333333,4,3,3,4,5,3.8,4,2,2,4,3,3,NA,NA,NA,NA,NA,NA,3,2,3,3,3,2.8,NA,NA,NA,NA,NA,NA,4,2,2,3,3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,4,2.8,4,3,3,4,4,3.6,4,3,0,1,4
50,37,2,2,2.666666667,2.666666667,1.666666667,0.666666667,1.666666667,5,5,6,5,5,5.2,5,5,6,5,6,5.4,5,5,5,5,5,5,5,5,6,5,5,5.2,5,5,5,5,5,5,5,5,5,5,6,5.2,5,5,5,6,5,5.2,5,5,6,5,5,5.2,5,5,5,6,5,5.2,4,3,3,3,3,3.2,4,4,5,5,4,4.4,2,1,5,4,5
51,33,1,2,NA,NA,NA,NA,NA,3,3,3,4,4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,5,5,4.4,3,3,5,5,5,4.2,3,2,3,4,4,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,43,2,2,NA,NA,NA,NA,NA,4,4,5,5,1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,62,1,2,3,3,3,1,1.666666667,2,3,4,2,1,2.4,4,3,3,3,1,2.8,3,4,5,2,1,3,2,2,4,3,1,2.4,2,3,3,4,1,2.6,2,3,3,3,1,2.4,4,5,4,3,1,3.4,3,3,2,3,1,2.4,3,4,5,3,1,3.2,4,4,4,2,1,3,3,3,2,3,1,2.4,1,2,5,4,5
54,46,1,2,1.666666667,0.333333333,1.666666667,3,3,1,2,1,1,2,1.4,1,1,2,3,2,1.8,0,0,0,2,2,0.8,0,0,0,4,2,1.2,1,1,2,4,2,2,1,4,3,4,2,2.8,1,3,2,4,4,2.8,1,2,2,4,3,2.4,1,2,1,1,2,1.4,0,0,1,4,3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,49,1,2,2.333333333,4,3.666666667,0.333333333,3.333333333,5,5,4,5,4,4.6,5,4,4,5,2,4,3,3,2,4,3,3,3,3,1,6,4,3.4,4,5,3,5,2,3.8,5,5,3,5,3,4.2,5,5,3,6,4,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,4.8,1,3,5,4,6
56,42,2,2,1.333333333,3.333333333,2.333333333,2.333333333,0.333333333,6,6,6,6,5,5.8,6,6,6,6,6,6,6,6,6,6,5,5.8,6,6,6,6,5,5.8,6,6,6,6,5,5.8,6,6,6,6,6,6,6,6,6,6,5,5.8,6,6,6,6,5,5.8,6,6,6,6,5,5.8,6,6,6,6,6,6,6,6,6,6,5,5.8,5,3,3,4,7
57,28,2,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,51,1,4,NA,NA,NA,NA,NA,5,4,5,4,3,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,29,1,2,NA,NA,NA,NA,NA,4,4,5,5,3,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,44,2,2,3,1,2.666666667,0.666666667,4,0,0,1,1,3,1,0,3,3,1,2,1.8,1,3,3,1,3,2.2,1,2,3,1,3,2,1,2,3,2,2,2,1,3,3,1,2,2,1,3,3,1,3,2.2,2,3,3,0,3,2.2,1,3,2,1,2,1.8,2,3,3,1,3,2.4,0,4,3,0,4,2.2,5,5,5,6,4
